ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141
1121,,chicken,meal,dinner,water,lotion,alcohol,beer,drunk,party,club,night,games,video,growth,hungry,thirsty,wet,wild,whip,music,sports,basketball,baseball,football,hope,lust,love,justice,news,drain,poster,phenomenon,acid,asking,try,reality,bogus,january,february,march,lick,field,gust,oil,osmosis,rage,howl,growl,plough,thorough,farm,grass,mine,mint,misty,learn,education,school,seven,six,hours,daily,hired,tired,fired,bread,dinner,cake,listening,empathy,sympathy,dog,friend,friendship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,,graph,blinds,window,ceiling,closet,clothes,wtch,watch,necklace,bracelet,drivethru,coffee,cookie,lotion,vitamins,ledge,mirror,space,rocket,car,string,lightbulb,pillow,dresser,couch,toaster,fryer,oven,microwave,pantry,cereal,bell,classroom,teacher,map,pencil,pen,highlighter,eraser,desk,lamp,toothbrush,shower,mouthwash,floss,candy,broccoli,rice,chicken,pig,cow,frog,bird,clown,fire,elephant,cape,hat,pool,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,,granddaughter,pearls,hat,gloves,boots,rainbow,straw,mums,fall,leaves,colors,cemetary,maple,syrup,bottle,cold,refrigerator,pumpkin,pie,gourds,apples,spic,spice,latte,gold,ribbon,tree,lights,bulbs,bow,red,green,gold,blue,corn,lamp,couch,light,cloud,rain,spruce,redwood,sequoia,elm,beard,blue,shirt,green,eyes,jar,ribbon,straw,scarecrow,hay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,,bottle,lunch,box,oxen,motor,oil,toil,boil,pasta,Italy,work,bakery,cheesecake,towel,coffee,coworker,cover,lover,stove,glove,move,mover,couch,bed,boxes,truck,fire,hydrant,hydrate,die,live,life,wife,knife,strife,cower,flower,glower,only,single,double,treble,stitch,crochet,knit,scarf,gloves,hat,sweater,leather,heather,weather,whether,nettle,grass,opium,poppy,tulip,sunflower,black,eye,phlox,dinosaur,apple,credit,Germany,fault,loser,lost,cost,most,moss,loss,albatross,sound,coin,bill,tower,roses,plan,war,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,,begin,start,run,jump,field,tennis,soccer,hot,humid,sun,sky,night,late,sore,drive,car,seat,wheel,light,green,road,home,door,roof,tile,window,tree,green,swing,pool,water,shower,room,chair,bed,screen,plate,drink,eat,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,,office,paper,pin,knife,cattle,curtains,printer,files,folders,glue,marker,ball,icons,set,chair,couch,mouse,keyboard,sand,earth,flower,foam,screen,projector,blinds,case,shorts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,,begin,train,traitor,trait,big,gig,trigger,tiger,soup,molten,lava,ticket,trampled,car,target,market,musket,gym,time,treat,sticky,candy,brandy,licorice,plaid,blue,red,green,yellow,great,grin,laugh,eyebrows,notice,settings,control,grog,adventure,Mister,shop,store,armory,general,bakery,ghost,dog,cat,food,cooking,gas,stove,oven,dishwasher,counter,sink,drain,swirl,clockwise,hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,,message,work,complicated,cell,mail,phone,text,science,medicine,vaccine,love,cup,mouse,tail,headphones,earbuds,charger,lotion,shampoo,conditioner,body,feet,soap,water,juice,chalk,climb,shoes,rope,chain,Jewelry,pendant,diamond,ruby,gold,silver,bronze,medal,sport,run,jump,treadmill,weights,small,larger,aid,hospital,talk,mine,puzzle,game,book,spear,magic,dragon,fire,ice,movie,show,fair,makeup,conceal,mask,hat,suit,waste,child,empty,sauce,evening,crowd,acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,,giraffe,rhino,elephant,cheetah,leopard,zebra,lion,tiger,hyena,buffalo,wildebeast,deer,antelope,ibex,lioness,dog,cat,parrot,hamster,gerbil,mouse,rat,opossum,cruise,shipboat,boat,ship,deck,film,movie,camera,cinema,director,producer,actor,writer,filming,craft,stage,drama,comedy,play,thriller,horror,action,adventure,desk,computer,walls,floor,ceiling,house,roof,fence,yard,sidewalk,street,sign,field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,,light,air,nature,calm,waves,surfing,shark,animals,farm,rabbit,carrot,stew,home,dinner,meal,family,connection,talking,laughing,genuine,sotries,stories,sweet,desert,candy,treat,holiday,wine,laughing,values,peace,relax,vacation,tranquil,beach,sand,food,lunch,picnic,date,nerves,akward,strange,giddy,excitment,newness,connection,jitters,new,job,interview,formal,skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
