ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124
1018,,Water,drink,liquid,thirsty,hungry,food,pizza,pepperoni,mean,nice,emotions,sad,morose,happy,excited,present,gift,christmas,holiday,season,winter,snow,blizzard,wind,cold,hot,summer,break,relax,vacation,trip,voyage,adventure,journey,travel,plane,bus,road,char,barbeque,meat,steak,sauce,tangy,flavor,sweet,candy,sweets,suckers,lollipop,stick,hold,grab,hand,fingers,knuckles,arms,body,human,species,animal,dog,cat,mouse,cheese,parmesean,sandwich,burger,lettuce,tomato,onion,cryin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,cloud,sky,blue,green,color,paint,draw,read,write,create,poem,story,book,fiction,nonfiction,biography,autobiography,telling,saying,calling,telephone,computer,fax,copy,print,cursive,old,new,used,car,truck,van,automobile,train,plane,travel,swim,bike,boat,canoe,kayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,cat,dog,person,cookie,movie,sun,sky,grass,rock,flower,job,shoe,store,job,rug,pillow,rabbit,monk,dirt,sand,ocean,bird,fruit,apple,bananna,peach,pepper,corn,pea,bean,norm,money,card,cake,brownie,coffie,huice,juice,salad,tea,filter,pool,ground,shade,wooden,horse,,,,,word,single,pencil,marker,crayon,school,car,van,cahir,makeup,soap,cleaner,shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,,hello,greeting,card,christmas,tree,acorn,palm,reading,voodoo,spell,words,sentences,paragraphs,school,english,robbery,store,crooks,card,credit,debit,bank,money,lots,big,small,toe,big,pig,oink,noice,loud,soft,pillow,fight,gun,rule,laws,city,state,country,world,class,soccer,football,baseball,sport,games,fun,stands,yell,yay,cheer,popcorn,hotdog,beer,gone,buy,things,online,home,computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,,hello,bye,world,mind,moon,earth,universe,nice,keyboard,touch,dog,cat,dirt,worm,ground,tree,leaf,sun,hot,cold,ice,water,cream,lotion,shower,tub,sport,athlete,shoe,speaker,retainer,bracelet,mat,pencil,pen,stapler,table,game,seat,chair,couch,lamp,monitor,computer,book,brick,ball,weight,dumbbell,curtains,stand,tall,short,fat,big,small,eat,full,not,turn,yogutt,yogurt,trust,turtle,your,butt,but,hut,nut,gut,rut,that,pot,pole,pool,oil,toil,foil,prop,port,pore,frog,fan,fangs,treat,trek,track,heat,heart,hurt,yearn,young,yellow,yield,hide,high,hit,heights,coast,free,gallop,giraffe,elephant,animal,beast,paper,pamphlet,class,school,kid,child,teen,adolescent,adult,senior,dead,rigomortus,decompose,coffin,beetle,ant,oxygen,carbon,stars,al
1095,,Happy,smile,mouth,teeth,white,black,color,rainbow,pride,queer,smart,belong,inclusive,diversity,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,,work,home,kids,family,school,outside,play,ball,clean,bath,kitchen,cook,dance,music,fun,circle,triange,square,shapes,colors,red,green,blue,pink,car,van,travel,mountains,beach,vacation,time,long,clock,watch,books,read,puppy,cat,games,pencil,paper,coloring,crayons,chair,wall,stairs,pants,shirt,dress,weight,lose,race,running,fast,slow,win,first,last,country,track,field,track,course,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,Feet,Hand,Finger,Nail,Hammer,Screw,Tool,Shed,House,Lake,Vacation,Beach,Palm,Tree,birds,bees,butterfly,net,income,gross,salary,wages,serve,volleyball,sandcastle,flipflops,sandles,shoes,socks,ankle,leg,knees,hip,spine,book,read,story,cozy,rain,tea,coffee,cake,sponge,clean,spongebob,patric,starfish,squirrel,nuts,trees,forest,park,playground,slides,swingset,game,basketball,soccer,football,fooseball,tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,wormhole,space,movers,transport,Janeway,captain,ship,fedex,postoffice,mail,delivery,pizza,pepparoni,deli,newyork,migrant,politics,vote,oscars,movies,tv,broadcast,sound,explosion,fire,water,fireman,police,ncis,hammel,hammer,building,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,,flower,bee,drunk,house,fall,busy,sick,tired,loud,unhappy,fall,down,on,the,sleepy,rash,pharmacy,drugs,sun,dog,cat,alright,car,food,fly,grade,red,warn,warm,picture,music,tree,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
