ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144
1016,body,creek,hope,need,happy,sad,closeness,meaningfulness,want,desire,closure,sampled,sickness,quick,toppled,manic,mopey,mean,slick,malnourished,private,symbolic,bravery,brother,bamboozled,broccoli,livid,plastic,clue,stamp,story,freedom,larry,stamina,stingy,stigma,toon,quiver,challenging,thoughts,variety,tenacity,tour,promise,magical,clammy,revered,quell,mourn,maybe,silhouette,wrong,wiggle,overturn,sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,body,mind,knowledge,learning,school,student,teacher,reading,writing,pen,paper,wood,tree,forest,animals,dog,cat,pig,farm,corn,food,apple,fruit,banana,monkey,jungle,warm,cold,water,cup,bowl,soup,cleaning,dishes,table,fork,spoon,silver,gold,iron,ore,mine,worker,job,office,boss,money,car,truck,bus,wheel,rubber,glove,snow,shovel,winter,summer,season,month,day,year,calendar,time,watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,body,mass,land,trees,forest,sky,sunset,sunrise,morning,coffee,danish,waffle,pastry,food,eggs,bacon,sausage,toast,beans,curd,lemon,tree,fruit,citrus,pineapple,grapefruit,florida,california,hot,climate,ozone,pandemic,danger,scared,sickness,dizzy,fever,safety,unsafe,quarantine,politics,depression,anxiety,suicide,jump,bridge,pills,knife,danger,northside,town,city,downtown,bus,trolley,equation,math,stupid,dumb,hate,hatred,president,presidential,district,depression,doctor,nurse,blood,testing,struggle,money,sleeping,tired,sleepy,bed,couch,television,cat,cuddles,purring,happiness,food,task,diary,diet,vegetable,tuna,fish,fishstick,potato,pancake,applesauce,apple,fruit,cream,oatmeal,cereal,smoothie,drink,water,cof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,body,leg,mind,arm,soul,peace,calm,relax,exercise,sprint,heart,cardio,blood,life,death,flower,grave,fire,barn,cow,chicken,red,blue,green,rainbow,light,dark,sun,moon,space,earth,sphere,pyramid,cone,cylinder,geometry,algebra,calculus,motion,physics,line,velocity,vector,direction,travel,road,drive,turn,swerve,train,caboose,engine,coal,mine,dynamite,clear,explosive,boom,caution,safety,regulation,hoop,skip,hop,jump,climb,rock,stone,obsidian,volcano,lava,fire,ice,cold,castle,knight,shield,sword,rook,bishop,church,faith,respect,authority,security,truth,lie,deceit,manipulate,unravel,deduction,logic,fact,fiction,science,math,english,spanish,words,language,communicate,collaborate,synergy,together,bond,chemical,radioactive,decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,body,body,yard,dog,go,on,nope,pearl,love,end,don'tto,our,revive,error,rose,eternal,like,enter,robert,thor,regeneration,night,tough,elo,oven,noise,eject,tension,not,touch,his,sister,renew,was,small,large,extra,arrange,exit,tiger,roger,ralica,adjust,type,eject,tiny,year,record,damn,nice,end,done,end,dope,eject,tire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,water,pitcher,glass,jug,cup,facet,faucet,tub,hands,drink,wash,tub,shower,cloth,dishes,mop,clean,hose,juice,koolaid,bottle,cup,ciwstern,well,river,lake,pond,creek,lake,puddle,bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,water,sea,ship,captain,sailing,country,flag,color,blue,black,night,dream,nightmare,afraid,fear,monster,comic,cartoon,mouse,animal,elephant,walking,sleeping,moving,forest,trees,branches,leaves,bugs,eating,larva,growing,insect,disease,infection,germs,bacteria,affected,cure,solution,chemical,dangerous,explotion,tnt,mine,gold,minerals,vitamin,healthy,energy,active,sad,song,music,instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,water,water,pool,summer,family,together,fun,vacation,warm,shade,picnic,lunch,food,sandwich,lemonade,kids,energy,playful,games,baseball,stadium,seats,hotdogs,america,flag,pride,unity,together,cooperation,helpin,favors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,body,hand,finger,thumb,skin,elbow,hip,knee,thigh,calf,foot,toes,nails,shoe,pants,socks,belt,pocket,shirt,shoulder,neck,face,head,teeth,nose,eyes,eyebrows,eyelashes,forehead,hair,hat,walking,sidewalk,cracks,pavement,curb,road,traffic,bus,car,lanes,drivers,trucks,bicycle,pedestrians,crosswalk,lights,stopping,skidding,town,buildings,hydrant,windows,doors,bricks,stores,products,workers,line,cashier,food,cleaners,produce,fruit,vegetables,deli,meat,bags,money,coupons,lines,parking,sky,airplane,helicopter,streaks,stars,moon,birds,wind,river,bank,fisherman,fish,water,waves,trees,forest,brush,birds,fox,owls,robins,worms,dirt,bushes,logs,debris,path,hiker,tent,fire,rock,drinks,sleeper,van,doors,parked,antenna,hood,grill,road,driving,traffic,town,stop,police,deliveries,sirens,fire,firefighters,truck,hoses,helmets,tanks,hydrants,flames,smoke,ladders,,,,,,,,,,,,,,,
1031,body,human,person,being,person,human,body,creaature,monster,ogre,fairytale,child,kid,youngster,tot,baby,mom,dad,family,home,house,abode,dwelling,structure,building,architecture,school,subject,major,minor,key,lock,door,entrance,exit,escape,out,in,inside,building,saafety,security,camera,picture,photo,shop,app,phone,apple,company,stock,money,dollars,euros,coins,change,same,different,people,humans,forgot,memory,brain,science,thinking,leaarning,education,system,measure,checks,balances,weight,heavy,light,sun,shine,glow,stick,toy,game,play,kids,grandkids,love,life,happiness,persuit,chase,run,job,exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
